slang,formal
woww,wow
aminn,amin
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2aa,kata-kata
hallo,halo
kaka,kakak
ka,kak
daah,dah
aaaaahhhh,ah
yaa,iya
smga,semoga
slalu,selalu
amiin,amin
kk,kakak
trus,terus
sii,sih
nyenengin,menyenangkan
bgt,banget
gemess,gemas
akuuu,aku
jgn,jangan
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,aku
saranin,menyarankan
nemuin,menemukan
yah,iya
mnis2,manis-manis
gtu,begitu
tu,itu
idolaa,idola
bangett,banget
kaakk,kak
baaiikkk,baik
telaatt,telat
kaak,kak
yg,yang
lg,lagi
skarang,sekarang
sempet,sempat
karna,karena
ngga,tidak
mantep,bagus
loohhh,
yeee,iya
baguuuuus,bagus
sampe,sampai
ngiakutin,mengiakuti
gayany,gaya
bnk,abang
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
pengen,mau
kpan,kapan
sma,sama
sdkit,sedikit
bngt,banget
lgu,lagu
bener2,benar-benar
kharisma,karisma
aq,aku
jdi,jadi
lgi,lagi
gk,tidak
kek,seperti
kereeeeennnn,keren
main,memakan
lakik,laki
siippp,sip
bkn,tidak
nyangka,menyangka
bangettt,banget
kereeen,keren
hhhhh,
tp,tapi
inget,ingat
bingitsss,banget
dmn,dimana
bird,biru
kalauo,kalau
gimna,bagaimana
tuuh,
nyebur,mencebur
yng,yang
dbuat,dibuat
kn,kan
org,orang
pingin,mau
abangcat,abangsat
yha,iya
waoohhh,
pngn,mau
tmpt,tempat
dhe,
indahhh,indah
bgttt,banget
h,
berarto,berarti
ga,tidak
aamiin,amin
amiiinn,amin
dgn,dengan
aminnnn2,amin-amin
amiiiin,amin
aminnn,amin
amind,amin
yaaa,iya
ameen,amin
aminnnn,amin
amiiinnn,amin
ngomong,membicarakan
mamer,memamerkan
keles,kali
jelase,jelas
liat,lihat
sombongk,sombong
ntar,nanti
bs,bisa
gini,begini
salfok,salah foakus
njir,
piiink,pink
astgfrullah,astagfirullah
ko,kok
cd,celana dalam
gbs,tidak bisa
bhs,bahasa
yaaaaaa,iya
gak,tidak
abangshad,abangsat
stagahhhh,astaga
kpn,kapan
iooo,lu
dy,dia
d,ada
mslh,masalah
qt,kita
plampiasannn,pelampiasan
masalahh,masalah
tohh,toh
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
banget,banget
bkin,bikin
dongg,dong
yokkk,mari
yu,mari
sweger,segar
gantengg,ganteng
bingiit,banget
kebukaaa,terbuka
tpi,tapi
keliatan,kelihatan
yakk,iya
sepertik,seperti
asliii,asli
kyk,seperti
cntik,cantik
bat,banget
ngeliat,melihat
sll,selalu
bet,banget
njerr,
bingiiittttzzzz,banget
k,kak
klo,kalau
dooong,dong
masi,masih
gni,begini
hdk,hendak
jugaa,juga
mksud,maksud
aj,saja
tetep,tetap
mbakx,mbak
syantik,cantik
kite,kita
pa,apa
mksd,maksud
bejilbb,berjilbab
masio,masih
yahhh,ya
makasih,terima kasih
leh,boleh
ugaaa,juga
jerewi,jerawat
ilang,hilang
jilbabah,jilbab
yuuuk,mari
warnaaa,warna
puaa,pu
cantiik,cantik
sukaaak,suka
kebayaa,kebaya
mantes,pantas
merekaaaa,mereka
jugaaa,juga
gilaaaa,gila
tiga2,tiga-tiga
lucuu,lucu
emessss,gemas
ucullllll,lucu
males,malas
abangeettt,banget
gemesshh,gemas
apaaa,apa
ampuunn,ampun
ciuuuummmm,cium
mbil,sambil
ngmng,membicarakan
ngemeng,membicarakan
epe,apa
seehh,sih
yank,sayang
ucul,lucu
yahh,ya
gw,saya
ngakak,mengakak
astagfirrullah,astagfirullah
rr,
mnta,minta
syg,sayang
ntik,cantik
pny,punya
dapet,dapat
suru,suruh
lucuuuu,lucu
ketawakkkk,ketawa
kya,kaya
bnget,banget
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,nafas
bgtt,banget
cintaaaaaaa,cinta
lucuk,lucu
ma,sama
duluu,dulu
megang,memegang
kawinin,mengawini
liatin,memperlihatkan
ny,
d,di
bdan,badan
aa,
gemesin,menggemaskan
fotoin,memfoto
ngaku,mengaku
kaaa,kak
ganteng2,ganteng-ganteng
pcarny,pacar
kri,kiri
knpa,kenapa
pda,pada
cmn,cuma
gara2,gara-gara
garuk2,garuk-garuk
dindingk,dinding
namax,nama
kiriii,kiri
bungakusin,bungakuskan
atu,satu
hhh,
kakk,kak
ngegantiin,menggantikan
al,allah
smpe,sampai
msh,masih
trsa,terasa
khadiran,kehadiran
fikiran,pikiran
hayalanaku,khayalanaku
bru,baru
nton,menonton
ngapain,mengapai
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kak
rinduuuuuuuuu,rindu
ninggalin,meninggalkan
smg,semoga
terangkhn,terangkan
bgtttt,banget
knp,kenapa
tuk,untuk
slama,selama
orng,orang
bngunlah,abangunlah
bngun,abangun
ea,iya
qu,aku
hiri,hari
"teman""ny,teman-teman,"
aza,saja
dr,dari
alm,almarhum
skrg,sekarang
sie,sih
benet,benar
bangetttt,banget
tuu,
skrang,sekarang
gda,tidak ada
gantiin,menggantikan
kta,kata
kklau,kalau
acra,acara
kasian,kasihan
yaaa ,iya
bnerr,benar
emk,emak
temenn,teman
pngenn,mau
terkenall,terkenal
ajhh,saja
sungguh2,sungguh-sungguh
mnjadi,menjadi
shbt,sahabat
bner,benar
ktny,kata
dimusiumin,dimuseumkan
bntu,bantu
dlu,dulu
udh,sudah
kangem,kangen
amiiin,amin
smua,semua
slmt,selamat
jln,jalan
"mudh""an,mudah-mudahan,"
tenny,tenang
sdh,sudah
t,ta
blm,belum
td,tadi
sblm,sebelum
bole,boleh
lahhh,lah
maap,maaf
cm,cuma
kmrn,kemarin
wkt,waktu
ama,sama
ak,aku
lht,lihat
biasa2,biasa-biasa
mnrtakuu,menurutaku
trs,terus
iakutin,mengiakuti
jdwl,jadwal
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
jan,jangan
akunjungin,akunjungi
lagiiii,lagi
waktuaa,waktu
diluangin,diluangkan
jga,juga
mimin,admin
istimewaaa,istimewa
blom,belum
nangis,menangis
"ngaku"",mengaku-ngaku,"
diaa,dia
donkk,dong
kejawab,terjawab
yaaaa,iya
seru2an,seru-seruan
mohom,mohon
kebalas,terbalas
iakutin,iakuti
nyempetin,menyempatkan
wktu,waktu
kaaaa,kak
ngobrol,mengobrol
namain,menamai
bls,balas
ijap,ijab
kobul,kabul
co,cowok
pst,pasti
inggat,ingat
brdua,berdua
masing2,masih
sanggat,sangat
siipp,sip
laa,lah
dlm,dalam
hdup,hidup
hdp,hidup
kedpan,kedepan
smoga,semoga
mndaptkan,mendapatkan
"nutup""in,menutup-nutupi,"
liatin,perlihatkan
iyah,iya
sja,saja
kakkk,kak
za,saja
mulut2,mulut-mulut
peengn,mau
tuch,
muantteepp,bagus
cpt,cepat
mrit,merit
y,iya
ngapasih,mengapa sih
ni,ini
segitu,sebegitu
fto,foto
pke,pakai
sisain,menyisakan
slamt,selamat
nantiii,nanti
edaaan,edan
emg,memang
tunggu2,tunggu-tunggu
sehat2,sehat-sehat
ciyeeeeeee,cie
pantes,pantas
lairan,kelahiran
jm,jam
ajha,saja
aaa,
ri,mencari
amiien,amin
terbaikkk,terbaik
ayahh,ayah
ae,saja
ndak,tidak
ngerti,mengerti
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
nyiin,menyikan
ahhh,ah
pgen,mau
tempt,tempat
kh,kah
bgini,begini
brani,berani
km,kamu
jalan2,jalan-jalan
asyikkkkk,asyik
iriiiii,iri
ngajak,mengajak
naaaaahh,nah
kka,kakak
yak,iya
ttep,tetap
sperti,seperti
jrang,jarang
