sentence,kata,tag
Kalimat 1,forza,
Kalimat 1,horizon,
Kalimat 1,,
Kalimat 1,om,
Kalimat 1,,
Kalimat 1,sekali,
Kalimat 1,,
Kalimat 1,install,
Kalimat 2,gan,
Kalimat 2,,
Kalimat 2,pc,
Kalimat 2,only,
Kalimat 2,,
Kalimat 2,sama,
Kalimat 2,dalem,
Kalimat 3,gan,
Kalimat 3,,
Kalimat 3,maenin,
Kalimat 3,game,
Kalimat 3,iya,
Kalimat 3,fc,
Kalimat 3,,
Kalimat 3,call,
Kalimat 3,of,
Kalimat 3,duty,
Kalimat 3,modern,
Kalimat 3,warfare,
Kalimat 4,gan,
Kalimat 4,,
Kalimat 4,kalau,
Kalimat 4,buat,
Kalimat 4,pb,
Kalimat 4,,
Kalimat 4,gta,
Kalimat 4,,
Kalimat 5,,
Kalimat 5,installin,
Kalimat 5,ets,
Kalimat 5,,
Kalimat 5,gta,
Kalimat 5,roleplay,
Kalimat 5,sisa,
Kalimat 5,kosong,
Kalimat 6,bang,
Kalimat 6,kalau,
Kalimat 6,beli,
Kalimat 6,gamenya,
Kalimat 6,,
Kalimat 6,,
Kalimat 6,ilangin,
Kalimat 6,,
Kalimat 6,mau,
Kalimat 6,ajar,
Kalimat 6,download,
Kalimat 6,sendiri,
Kalimat 6,bang,
Kalimat 7,kalau,
Kalimat 7,misal,
Kalimat 7,,
Kalimat 7,tambah,
Kalimat 7,hdd,
Kalimat 7,tera,
Kalimat 7,,
Kalimat 7,,
Kalimat 8,gan,
Kalimat 8,semua,
Kalimat 8,komponen,
Kalimat 8,pc,
Kalimat 8,orisinal,
Kalimat 8,apa,
Kalimat 9,gan,
Kalimat 9,,
Kalimat 9,windows,
Kalimat 9,pro,
Kalimat 9,original,
Kalimat 9,apa,
Kalimat 10,monitor,
Kalimat 10,nya,
Kalimat 10,,
Kalimat 10,req,
Kalimat 10,hp,
Kalimat 10,sih,
Kalimat 10,gan,
Kalimat 11,buat,
Kalimat 11,gta,
Kalimat 11,roplay,
Kalimat 11,kuat,
Kalimat 11,,
Kalimat 11,gan,
Kalimat 12,,
Kalimat 12,req,
Kalimat 12,game,
Kalimat 13,gan,
Kalimat 13,toko,
Kalimat 13,asli,
Kalimat 13,mana,
Kalimat 13,,
Kalimat 14,assalamualaikum,
Kalimat 14,kak,
Kalimat 14,maaf,
Kalimat 14,mau,
Kalimat 14,tanya,
Kalimat 14,kak,
Kalimat 14,kalau,
Kalimat 14,aku,
Kalimat 14,beli,
Kalimat 14,bayar,
Kalimat 14,aku,
Kalimat 14,cicil,
Kalimat 14,,
Kalimat 14,seumpma,
Kalimat 14,aku,
Kalimat 14,cicil,
Kalimat 14,ambil,
Kalimat 14,buln,
Kalimat 14,,
Kalimat 14,kalau,
Kalimat 14,seumpm,
Kalimat 14,aku,
Kalimat 14,punya,
Kalimat 14,uang,
Kalimat 14,terus,
Kalimat 14,aku,
Kalimat 14,lunasin,
Kalimat 14,biar,
Kalimat 14,,
Kalimat 14,,
Kalimat 14,sethun,
Kalimat 14,apa,
Kalimat 14,,
Kalimat 14,,
Kalimat 15,kalau,
Kalimat 15,tegang,
Kalimat 15,rumah,
Kalimat 15,cuman,
Kalimat 15,,
Kalimat 15,kuat,
Kalimat 15,,
Kalimat 15,,
Kalimat 16,i,
Kalimat 16,,
Kalimat 16,bagus,
Kalimat 16,,
Kalimat 16,,
Kalimat 16,mau,
Kalimat 16,beli,
Kalimat 16,cuman,
Kalimat 16,ragu,
Kalimat 16,,
Kalimat 16,gen,
Kalimat 16,pertama,
Kalimat 17,gan,
Kalimat 17,,
Kalimat 17,proxessornya,
Kalimat 17,gen,
Kalimat 17,berapa,
Kalimat 17,gen,
Kalimat 17,,
Kalimat 18,sore,
Kalimat 18,gan,
Kalimat 18,,
Kalimat 18,pc,
Kalimat 18,nya,
