Kalimat,kata,pos,tag
Kalimat 1,forza,,B-Game
Kalimat 1,horizon,,E-Game
Kalimat 1,5,,O
Kalimat 1,om,,O
Kalimat 1,install,,O
Kalimat 2,gan,,O
Kalimat 2,pc,,B-Device
Kalimat 2,only,,O
Kalimat 2,dalem,,B-Lengkap
Kalimat  3,gan,,O
Kalimat  3,maenin,,O
Kalimat  3,game,,O
Kalimat  3,iya,,O
Kalimat  3,fc,,B-Game
Kalimat  3,24,,O
Kalimat  3,call,,B-Game
Kalimat  3,of,,I-Game
Kalimat  3,duty,,E-Game
Kalimat  3,modern,,B-Game
Kalimat  3,warfare2,,E-Game
Kalimat 4,gan,,O
Kalimat 4,pb,,B-Game
Kalimat 4,gta,,B-Game
Kalimat 4,5,,O
Kalimat 5,installin,,O
Kalimat 5,ets2,,B-Game
Kalimat 5,gta,,B-Game
Kalimat 5,roleplay,,E-Game
Kalimat 5,sisa,,O
Kalimat 5,kosong,,O
Kalimat 6,bang,,O
Kalimat 6,beli,,O
Kalimat 6,gamenya,,O
Kalimat 6,ilangin,,O
Kalimat 6,ajar,,O
Kalimat 6,download,,O
Kalimat 6,bang,,O
Kalimat 7,tambah,,O
Kalimat 7,hdd,,B-Spek
Kalimat 7,1,,O
Kalimat 7,tera,,O
Kalimat 8,gan,,O
Kalimat 8,komponen,,B-Spek
Kalimat 8,pc,,B-Device
Kalimat 8,orisinal,,B-Original
Kalimat 9,gan,,O
Kalimat 9,windows,,B-Spek
Kalimat 9,10,,O
Kalimat 9,pro,,O
Kalimat 9,original,,B-Original
Kalimat 10,monitor,,B-Device
Kalimat 10,req,,O
Kalimat 10,hp24c,,O
Kalimat 10,gan,,O
Kalimat 11,gta,,B-Game
Kalimat 11,roplay,,E-Game
Kalimat 11,kuat,,O
Kalimat 11,gan,,O
Kalimat 12,req,,O
Kalimat 12,game,,B-Game
Kalimat 13,gan,,O
Kalimat 13,toko,,B-Tempat
Kalimat 13,asli,,O
Kalimat 13,mana,,O
Kalimat 14,assalamualaikum,,O
Kalimat 14,kak,,O
Kalimat 14,maaf,,O
Kalimat 14,kak,,O
Kalimat 14,beli,,B-Bayar
Kalimat 14,bayar,,B-Bayar
Kalimat 14,cicil,,B-Bayar
Kalimat 14,seumpma,,O
Kalimat 14,cicil,,B-Bayar
Kalimat 14,ambil,,O
Kalimat 14,12,,O
