,stemmed_tokens
0,"['forza', 'horizon', '5', 'om', 'install']"
1,"['gan', 'pc', 'only', 'dalem']"
2,"['gan', 'maenin', 'game', 'iya', 'fc', '24', 'call', 'of', 'duty', 'modern', 'warfare2']"
3,"['gan', 'pb', 'gta', '5']"
4,"['installin', 'ets2', 'gta', 'roleplay', 'sisa', 'kosong']"
5,"['bang', 'beli', 'gamenya', 'ilangin', 'ajar', 'download', 'bang']"
6,"['tambah', 'hdd', '1', 'tera']"
7,"['gan', 'komponen', 'pc', 'orisinal']"
8,"['gan', 'windows', '10', 'pro', 'original']"
9,"['monitor', 'req', 'hp24c', 'gan']"
10,"['gta', 'roplay', 'kuat', 'gan']"
11,"['req', 'game']"
12,"['gan', 'toko', 'asli', 'mana']"
13,"['assalamualaikum', 'kak', 'maaf', 'kak', 'beli', 'bayar', 'cicil', 'seumpma', 'cicil', 'ambil', '12', 'buln', 'seumpm', 'uang', 'lunasin', 'biar', 'sethun']"
14,"['tegang', 'rumah', 'cuman', '450', 'kuat']"
15,"['i7', '860', 'bagus', '', 'beli', 'cuman', 'ragu', 'gen']"
16,"['gan', 'proxessornya', 'gen', 'gen', '8', 'kah']"
17,"['sore', 'gan', 'pc', 'terima', 'kasih']"
18,"['game', 'forza', 'horizon']"
19,"['monitor', 'ganti', 'curve']"
20,"['gan', 'ganti', 'gtx', '1650', 'tambah']"
21,"['gan', 'nanya', 'windows', 'orisinal', '', 'trial', 'request', 'game']"
22,"['gan', 'processor', 'ganti', 'ryzen', '5', '3400g', 'tambah']"
23,"['monitor', 'gan']"
24,"['kirim', 'tangsel', 'request', 'game', 'maks']"
25,"['adobe', 'premier', 'pro', 'after', 'effect', 'lancar', 'gan']"
26,"['pagi', 'nanya', 'gan', '1', 'barang', 'ken', '2', 'osnya', 'orisinal', 'office', 'dll', 'orisinal', 'baja', 'kudu', 'panjang', 'tahun', '3', 'kirim', 'jakarta', 'makasiih']"
27,"['gan', 'watnya', 'iya', 'listrik', '1300']"
28,"['gan', 'makan', 'gta', 'roleplay']"
29,"['cpu', 'gen']"
30,"['bos', 'game', 'request', 'maksimal', 'game']"
31,"['makan', 'csgo', 'valorant']"
32,"['ganti', 'ssd', '240', 'gb', 'ram', '32gb', 'gan']"
33,"['bayar', 'kirim']"
34,"['gan', 'cod']"
35,"['gtx', 'varian', 'deskripsi', 'beda']"
36,"['monitor', 'deskripsi']"
37,"['kuat', 'main', 'fifa', '23', 'gow', 'ragnarok', 'nih', 'min']"
38,"['kak', 'main', 'game', 'gta', '5', 'roleplay', 'kak']"
39,"['bang', 'nanya', 'makan', 'game', 'genshin', 'impact', 'kuat', 'bang', 'ngejoki', 'bang']"
40,"['kak', 'varian', 'vga', '4gb', 'gtx750', 'memori', '16gb', 'kira', 'kuat', 'kak', 'makan', 'gta', 'roleplay']"
41,"['toko', 'harga', 'gan']"
42,"['kak', 'procesor', 'i7', 'generasi', 'berapa']"
43,"['kak', 'instal', 'game', 'sims', '4', 'kak']"
44,"['game', 'new', 'world']"
45,"['core', 'i7', 'gen']"
46,"['bang', 'makan', 'gta', '5', 'online']"
47,"['gan', 'kuat', 'editing', 'minimal', 'speknya', 'core', 'i7', 'pakai', 'master', 'kuat']"
48,"['min', 'makan', 'valoran', 'cod', 'warzone']"
49,"['ready', 'kak', 'spek', 'upgrade', 'processor']"
50,"['om', 'speck', '3d', 'rander', 'berat', 'kah']"
